,state,2019population,positive,hospitalizedCumulative,death,totalTestResults,infection_rate,death_rate,test_rate,hospitalized_rate,infection_rank,death_rank,test_rank,final_score
1,Vermont,623989.0,16083.0,,208.0,1124215.0,0.025774492819584962,0.012932910526643039,1.8016583625672888,,lowest25%,lowest25%,top25%,300
2,Minnesota,5639632.0,490011.0,25978.0,6550.0,7111428.0,0.0868870522048247,0.013367046862213298,1.2609737656641427,0.05301513639489726,50%-75%,lowest25%,top25%,275
3,Alaska,731545.0,56886.0,1293.0,305.0,1731628.0,0.07776145008167645,0.005361600393769996,2.367083364659727,0.022729669866047884,50%-75%,lowest25%,top25%,275
4,Colorado,5758736.0,436602.0,23904.0,5989.0,6415123.0,0.07581559564459979,0.013717298592310617,1.113981088905621,0.05475009276182885,50%-75%,lowest25%,25%-50%,250
5,New Hampshire,1359711.0,76861.0,1131.0,1184.0,1497185.0,0.0565274532602884,0.015404431376120528,1.1011053084074482,0.014714874904047567,lowest25%,50%-75%,25%-50%,250
6,Maine,1344212.0,45794.0,1570.0,706.0,1660180.0,0.03406754291733744,0.015416866838450453,1.2350581604687356,0.034283967331964885,lowest25%,50%-75%,25%-50%,250
7,Wyoming,578759.0,54764.0,1391.0,682.0,649293.0,0.09462315056871685,0.01245343656416624,1.1218711069719867,0.025399897743042875,25%-50%,lowest25%,25%-50%,225
8,California,39512223.0,3501394.0,,54124.0,49646014.0,0.08861546463736045,0.015457843361815323,1.2564723073161437,,50%-75%,50%-75%,25%-50%,225
9,North Carolina,10488084.0,872176.0,,11502.0,9688838.0,0.08315875425864247,0.01318770523380602,0.923794851376095,,50%-75%,lowest25%,50%-75%,225
10,West Virginia,1792147.0,133445.0,,2325.0,2236551.0,0.07446096776659504,0.017422908314286785,1.2479729620393862,,lowest25%,25%-50%,25%-50%,225
11,Maryland,6045680.0,387319.0,35651.0,7955.0,8097590.0,0.06406541530481269,0.020538625783914553,1.3394010268489236,0.09204557483624609,lowest25%,top25%,top25%,225
12,District of Columbia,705749.0,41419.0,,1030.0,1261363.0,0.05868800380871953,0.024867814288128638,1.7872685614857406,,lowest25%,top25%,top25%,225
13,Oregon,4217737.0,157079.0,8714.0,2296.0,3850973.0,0.037242483350668855,0.014616848846758637,0.9130424680343986,0.055475270405337444,lowest25%,50%-75%,50%-75%,225
14,North Dakota,762062.0,100391.0,3880.0,1478.0,1425146.0,0.13173600048290035,0.014722435278062775,1.8701181793607344,0.03864888286798617,top25%,50%-75%,top25%,200
15,Wisconsin,5822434.0,621654.0,26457.0,7106.0,7080595.0,0.10676874997638444,0.011430795908978306,1.2160884949490196,0.042559044098485654,top25%,lowest25%,25%-50%,200
16,Nebraska,1934408.0,203026.0,6237.0,2113.0,2421684.0,0.10495510771254048,0.01040753401042231,1.251899289084826,0.030720203323712236,top25%,lowest25%,25%-50%,200
17,Illinois,12671821.0,1198335.0,,23014.0,18640190.0,0.09456691346886924,0.01920498024342108,1.4709953683847017,,25%-50%,25%-50%,top25%,200
18,Montana,1068778.0,100914.0,4630.0,1381.0,1104488.0,0.09441998244724349,0.013684919832728858,1.0334119901420127,0.045880650851219854,25%-50%,lowest25%,50%-75%,200
19,Kentucky,4467673.0,410709.0,19457.0,4819.0,3975672.0,0.09192906463834752,0.011733368394654123,0.8898753333110996,0.047374174902424834,25%-50%,lowest25%,50%-75%,200
20,Delaware,973764.0,88354.0,,1473.0,1431942.0,0.0907345106206432,0.01667157117957308,1.4705226317670401,,25%-50%,25%-50%,top25%,200
21,New Mexico,2096829.0,186922.0,13252.0,3808.0,2783542.0,0.08914508526923273,0.02037213383122372,1.3275007165581933,0.07089588170466826,50%-75%,top25%,top25%,200
22,New York,19453561.0,1681169.0,89995.0,39029.0,39695100.0,0.0864196020461241,0.023215393574352133,2.0405055917525847,0.0535312035851244,50%-75%,top25%,top25%,200
23,Massachusetts,6892503.0,591356.0,19713.0,16417.0,16825551.0,0.08579698840900032,0.027761619058570473,2.4411380016809567,0.033335249832588155,50%-75%,top25%,top25%,200
24,Connecticut,3565287.0,285330.0,12257.0,7704.0,6520366.0,0.08003002282845673,0.02700031542424561,1.8288474392103637,0.042957277538289,50%-75%,top25%,top25%,200
25,Virginia,8535519.0,585700.0,24661.0,9596.0,6038209.0,0.06861914313587726,0.016383814239371693,0.7074214233487149,0.04210517329690968,lowest25%,50%-75%,lowest25%,200
26,Michigan,9986857.0,656072.0,,16658.0,10621967.0,0.06569354102096385,0.025390505920081942,1.0635945823595951,,lowest25%,top25%,25%-50%,200
27,Washington,7614893.0,344532.0,19599.0,5041.0,5393756.0,0.04524449654118581,0.014631442072144242,0.7083167156780797,0.05688586256138762,lowest25%,50%-75%,lowest25%,200
28,Hawaii,1415872.0,28699.0,2226.0,445.0,1146796.0,0.02026948763730055,0.015505766751454755,0.8099573972788501,0.07756367817693996,lowest25%,50%-75%,lowest25%,200
29,Rhode Island,1059361.0,128781.0,9020.0,2547.0,3123348.0,0.1215647923606778,0.019777762247536516,2.9483320605534846,0.07004138809296402,top25%,25%-50%,top25%,175
30,Utah,3205958.0,374850.0,14891.0,1976.0,2910121.0,0.1169229291213422,0.0052714419100973724,0.9077227462118967,0.03972522342270241,top25%,lowest25%,50%-75%,175
31,Oklahoma,3956971.0,428997.0,24332.0,4534.0,3575297.0,0.10841550266605442,0.010568838476725944,0.9035438975923756,0.056718345349734384,top25%,lowest25%,50%-75%,175
32,Indiana,6732219.0,667262.0,43217.0,12737.0,8242367.0,0.09911471982714763,0.01908845401056856,1.2243165292157014,0.06476766247740767,25%-50%,25%-50%,25%-50%,175
33,Idaho,1787065.0,172931.0,7184.0,1879.0,645838.0,0.09676816456032657,0.010865605357049921,0.3613959201260167,0.041542580566815666,25%-50%,lowest25%,lowest25%,175
34,Florida,21477737.0,1909209.0,82237.0,32266.0,22339182.0,0.08889246571927015,0.016900192697604087,1.0401087414377037,0.043073859383650506,50%-75%,25%-50%,50%-75%,175
35,Ohio,11689100.0,978471.0,50881.0,17656.0,10257157.0,0.08370798436149918,0.018044479601337187,0.8774975832185541,0.05200051917736959,50%-75%,25%-50%,50%-75%,175
36,Pennsylvania,12801989.0,948643.0,,24349.0,10681716.0,0.07410121974015131,0.025667189870161904,0.8343794077623407,,lowest25%,top25%,50%-75%,175
37,Tennessee,6829174.0,782206.0,18870.0,11543.0,6872745.0,0.11453888859765471,0.01475698217605081,1.0063801273770445,0.02412407984597408,top25%,50%-75%,50%-75%,150
38,Arizona,7278717.0,826454.0,57907.0,16328.0,7908105.0,0.11354391165366094,0.019756695472464288,1.08646963468974,0.07006681557594252,top25%,25%-50%,25%-50%,150
39,Arkansas,3017804.0,324818.0,14926.0,5319.0,2736442.0,0.10763389537557774,0.016375324027609307,0.9067659795003254,0.04595188690281943,top25%,50%-75%,50%-75%,150
40,South Carolina,5148714.0,525865.0,20725.0,8754.0,5183044.0,0.10213521279294208,0.01664685803390604,1.0066676843965308,0.03941125574054177,top25%,50%-75%,50%-75%,150
41,Nevada,3080156.0,296190.0,,5037.0,2770192.0,0.09616071393786549,0.01700597589385192,0.8993674346364275,,25%-50%,25%-50%,50%-75%,150
42,Louisiana,4648794.0,433785.0,,9748.0,5695464.0,0.09331129751070923,0.02247196191661768,1.2251487159895664,,25%-50%,top25%,25%-50%,150
43,Texas,28995881.0,2686818.0,,44451.0,19907384.0,0.09266205775916932,0.016544105332032166,0.6865590322984151,,25%-50%,50%-75%,lowest25%,150
44,New Jersey,8882190.0,812609.0,64396.0,23574.0,10999550.0,0.09148745973684418,0.029010262007927553,1.2383826511254543,0.07924598423103854,25%-50%,top25%,25%-50%,150
45,Iowa,3155070.0,282384.0,,5558.0,1326802.0,0.08950165923418497,0.019682418267323927,0.42053013086872876,,50%-75%,25%-50%,lowest25%,150
46,Missouri,6137428.0,480643.0,,8161.0,4565866.0,0.0783134237990246,0.016979338095010225,0.7439380144255867,,50%-75%,25%-50%,lowest25%,150
47,Puerto Rico,3193694.0,101632.0,,2062.0,407604.0,0.031822710629133534,0.02028888539042821,0.12762775644754945,,lowest25%,top25%,lowest25%,150
48,Kansas,2913314.0,295861.0,9387.0,4812.0,1270547.0,0.10155479292654344,0.016264394428464717,0.43611742503554374,0.031727737011637225,top25%,50%-75%,lowest25%,125
49,Georgia,10617423.0,1023487.0,56797.0,17906.0,7359069.0,0.09639693172250931,0.017495092756429735,0.6931125377598688,0.05549362131614764,25%-50%,25%-50%,lowest25%,125
50,South Dakota,884659.0,113589.0,6705.0,1900.0,701924.0,0.1283986259112268,0.01672697180184701,0.7934401842970004,0.05902860312178116,top25%,25%-50%,lowest25%,100
51,Mississippi,2976149.0,297581.0,9162.0,6808.0,1756955.0,0.09998860944126117,0.022877804698552662,0.5903451070494118,0.03078825597064329,25%-50%,top25%,lowest25%,100
52,Alabama,4903185.0,499819.0,45976.0,10148.0,2323788.0,0.10193761809925589,0.02030334981263217,0.4739343916250356,0.09198529867812148,top25%,top25%,lowest25%,75
